text,label
وان ايکس که منو با باتريش کشت.,0
همچنین اینکه برای اسکن یک عکس 6X4 به بیش از یک دقیقه زمان احتیاج دارد که یکی از کند ترین اسکنرهایی می‌باشد که تا به حال دیده ایم.,0
من خودم طرفداره اپلم ولي با اين گوشي حالم گرفته شد :(  1 ساله منتظرم بياد بگيرمش.,0
هم نسخه اوليه آندرويد قديمي هست هم قيمت نسبت به امکانات تقريبا ميشه گفت بسيار بالاست!,0
شايعاتي که قبل از ورود اين گوشي به عرصه ي گوشي هاي فوق مدرن منتشر شد توقعات کاربران رو بالا برد به طوريکه با معرفي اين گوشي هيچ چيز اعجاب آوري در آن ديده نشد در صورتي که رئيس بخش Foxconn گفته بود گوشي آيفون 5 دارندگان گلکسي s3 رو خجالت زده ميکند .,0
به علاوه زاویه دید به خصوص در حالت عمودی،  بسیار محدود است به طوری که اگر کمی از بالا و یا پایین به آن بنگرید،  افت شدیدی در کیفیت تصویر و رنگ‌های تولید شده مشاهده خواهید کرد.,0
وقتي هم بردم گارانتي آواژنگ گفتن که اين مشکل وجود داره و بايد صبر کنيد ببينيم نسخه بعدي Android اين مشکل رو حل مي کنه يا نه,0
بعد از استيو iphone هم مرد دو ساله منتظريم اونوقت يه گوشي مي زنن که هيچ چيز خاصي نداره.,0
به نظرم لوميا 920 از اين خيلي سرتره,0
تجربه ي کاري من با ويندوز 7 و 7.5 ميگه که :  يک سيستم عامل کند و خسته کننده با محيط کاربري يکنواخت و تعداد محدود نرم افزار ارائه شده هست هرچند شرکت مايکروسافت ويندوز هشت رو رقيب آي اُ اس اپل و گوگل اندرويد دونسته اما بايد به انتظار نشست و ديد ايا اين چنين هست يا .,0
ولي يه مشکلي داشت که در بلند مدت خيلي ضد حال ميشه، اونم اينه که پشت گوشي خيلي سريع خط ميفته که فک کنم تو سفيدش کمتر پيدا باشه,0
يکي از نقاط ضعف اين دوربين،  ضبط نشدن صدا هنگام زوم اپتيکال در حين فيلمبرداري است و  ماکرو هم از فاصله 10cm کار مي کنه که وقتي ميخواين عکس هاي ماکرو بگيرين يکم با مشکل روبرو ميشين و از لحاظ قدرت نرم افزاري هم ضعيفه،  يعني شما چيزي به اسم افکت هاي سپيا،  سياه و سفيد،  يا از اين جور چيزها ندارين ..,0
صداش واقعا ضعيفه.,0
واقعا سنگينه.,0
هيچوقت به پاي گوشيهاي جديد 2012 نميرسه سامسونگ الان تو زمينه گوشي حرف اول رو ميزنه S III و note 2 خيلي بهترن.,0
اين همه پول بدي آخرشم هيچکس متوجه نشه آيفون 4 يا 4s يا 5 دستت گرفتي.,0
